KEY,NOTES_FOR_LOCALISATION,LINE_EN,LINE_XX,LINE_FR,LINE_IT,LINE_DE,LINE_ES,LINE_BP,LINE_JP,LINE_RU,LINE_KP,LINE_CN,LINE_XX
$flower7_desc,,"Found commonly in the swamps, Hivesbane has prickly black rose-like appearance. The sharp petals can lead to some distress in bees, causing them to act unpredictable.",XX,"Répandue dans les marais, l'Aconit des ruches a l'apparence d'une rose noire épineuse. Les pétales pointus peuvent provoquer des troubles chez les abeilles et les rendre imprévisibles.","Il flagello degli alveari, molto comune nelle paludi, ha l'aspetto di una rosa spinata nera. I suoi petali affilati possono causare delle difficoltà alle api che inizieranno ad agire in modo imprevedibile.","Das in den Sümpfen weit verbreitete Bienenstock-Kraut hat ein stacheliges, schwarzes, rosenartiges Aussehen. Die scharfen Blütenblätter können bei Bienen zu einer gewissen Beunruhigung führen, sodass sie sich unberechenbar verhalten.","La flor de colmenólito se parece a una rosa negra con espinas y se encuentra comúnmente en pantanos. Sus pétalos afilados pueden causar molestias a las abejas, lo que las hace actuar de forma impredecible.","Comumente encontrada em pântanos, a Perdição-das-colmeias se parece com uma rosa preta e espinhenta. Suas pétalas afiadas estressam as abelhas, fazendo com que ajam de maneira imprevisível.",沼地で見かけられ、トゲのあるバラに似た見た目をしている。鋭利な花びらにハチは驚くことがあり、その際ハチは予想外のふるまいをする。,,,"巢祸花常见于沼泽之中, 外表像是多刺的黑玫瑰. 它尖锐的花瓣会给蜜蜂带来苦恼, 使其做出一些无法预测的行为.",XX
$flower7_effect,,"This flower decreases the stability of bees, increasing the chance of mutation.",XX,"Cette fleur diminue la stabilité des abeilles, ce qui accroît les chances de mutation.","Questo fiore diminuisce la stabilità delle api, aumentando la possibilità di mutazioni.",Diese Blume vermindert die Stabilität der Bienen und erhöht die Wahrscheinlichkeit von Mutationen.,"Esta flor disminuye la estabilidad de las abejas, lo que aumenta la probabilidad de mutaciones.","Essa flor diminui a estabilidade das abelhas, aumentando a chance de mutação.",ハチの安定性を低下させ、変異の可能性を向上させる。,,,"这种花能降低蜜蜂的稳定性, 增加变异的几率.",
$flower8_species,,Pondshine,XX,Éclat d'étang,Splendor d'acqua,Teichlicht,Estánquea,Brilho-do-lago,ポンドシャイン,,,池光花,XX
$flower8_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Lux Lacuna,XX,Lux Lacuna,Lux Lacuna,Lux Lacuna,Lux Lacuna,Lux Lacuna,Lux Lacuna,,,Lux Lacuna,XX
$flower8_hint,"A white lotus found commonly in the swamps, only growing in water. It lights up at night and will keep daytime bees active later into the night than usual (as if the light was keeping the bees awake for longer)",A remarkable luminescent lotus that can be found in shallows near the swamps.,XX,Un remarquable lotus luminescent que l'on trouve dans les eaux peu profondes près des marais.,Un loto dalla notevole luminiscenza che si può trovare nelle secche nei pressi delle paludi.,"Ein bemerkenswerter leuchtender Lotus, der in seichten Gewässern nahe der Sümpfe zu finden ist.",Un loto notoriamente luminiscente que se puede encontrar en aguas poco profundas cerca de pantanos.,Um lótus memoravelmente luminoso que é encontrado nas águas rasas próximas de pântanos.,きれいに発光するハスの花。湿地周辺の浅瀬で見られる。,,,"漂亮的发光莲花, 生长于沼泽附近浅水中.",XX
$flower8_desc,,"A natural marvel, Pondshine is a bioluminescent flower that grows in the shallows of the swamps. The light it provides at night keeps nearby bees active much later than they would naturally.",XX,"Merveille naturelle, l'Éclat d'étang est une fleur bioluminescente qui pousse dans les eaux peu profondes des marais. La lumière qu'elle diffuse la nuit permet aux abeilles voisines de rester actives plus longtemps.","Lo splendor d'acqua, una vera meraviglia della natura, è un fiore bioluminescente che cresce nelle secche delle paludi. La luce che emana di notte consente alle api nei paraggi di rimanere attive per molto più tempo del normale.","Ein Wunder der Natur: Das Teichlicht ist eine biolumineszente Blume, die in den seichten Gewässern nahe der Sümpfe wächst. Das Licht, das sie nachts spendet, sorgt dafür, dass die Bienen in der Nähe viel später aktiv werden, als sie es von Natur aus würden.","La estánquea, una verdadera maravilla de la naturaleza, es una flor bioluminiscente que crece en las aguas superficiales de los pantanos. La luz que emite durante la noche mantiene a las abejas activas hasta mucho más tarde de lo que normalmente estarían.","Uma maravilha da natureza, o Brilho-do-lago é uma flor bioluminescente que cresce nas águas do pântano. A luz que provém a noite mantém as abelhas até muito mais tarde do que ficariam naturalmente.",自然の不思議とも言える、ポンドシャインは湿地周辺の浅瀬に咲く生物発光の花。夜にこの花の光があると、近くにいるハチは通常よりかなり遅くまで働くことができる。,,,"池光花生长于沼泽的浅水中, 是大自然的奇迹, 它的花能发出生物光. 它在夜间发出的光能使周围的蜜蜂活动到比自然情况下晚得多的时间.",XX
$flower8_effect,,This flower keeps bees up for a few hours longer into the night.,XX,Cette fleur permet aux abeilles de rester éveillées quelques heures de plus la nuit.,Questo fiore tiene le api sveglie più a lungo durante le ore notturne.,Diese Blume hält die Bienen einige Stunden länger in der Nacht wach.,Esta flor mantiene a las abejas despiertas durante más tiempo a la noche.,Essa flor mantém abelhas ativas por mais algumas horas de noite.,日が暮れても数時間ハチを働かせ続けることができる。,,,这种花能使蜜蜂在入夜后继续多活动数小时.,
$flower9_species,,Honeydrop,XX,Midromel,Goccia di miele,Honigtropfen,Rocío de miel,Gota-de-mel,ハニードロップ,,,蜜滴花,XX
$flower9_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Stilla Mela,XX,Stilla Mela,Stilla Mela,Stilla Mela,Stilla Mela,Stilla Mela,Stilla Mela,,,Stilla Mela,XX
$flower9_hint,"A gold flower that grows in the snow, it increases the stability of nearby bees meaning less chance for mutation",A sparkling gold flower that can be found naturally in colder climates,XX,Une fleur dorée étincelante que l'on trouve naturellement dans les climats froids.,Un brillante fiore dorato che si trova in natura nei climi più freddi.,"Eine goldglänzende Blume, die natürlich in kälteren Klimazonen vorkommt",Una flor dorada brillante que crece en climas fríos.,Uma flor dourada e brilhante que é encontrada naturalmente em climas frios.,気温が低い場所で自然に生息する黄金の花,,,"发出闪闪金光的花朵, 自然生长在较冷的气候中.",XX
$flower9_desc,,"An exquisite flash of colour in an otherwise white wasteland, the Honeydrop brings a soothing presense to queen bees, keeping them more stable and their offspring to be more consistent across generations. ",XX,"Un éclat de couleur exquis dans une vaste étendue blanche, le Midromel est une source d'apaisement pour les reines abeilles. Elles sont ainsi plus stables et leur progéniture est plus équilibrée d'une génération à l'autre.","Il goccia di miele è uno squisito guizzo di colore in una vasta desolazione bianca. Il fiore è una presenza calmante per le api regine, rendendole più stabili e consentendo alla loro prole di essere più consistente di generazione in generazione.","Als exquisiter Farbtupfer in einer ansonsten weißen Einöde verleiht das Honigtropfengewächs den Bienenköniginnen einen beruhigenden Glanz, der sie stabiler und ihre Nachkommenschaft über Generationen hinweg beständiger macht.","La flor de rocío de miel es un pincelazo de colores en medio de un blanco infinito. Esta planta tranquiliza a las abejas reinas y les da más estabilidad, lo que garantiza que sus crías sean más constantes generación tras generación. ","Um brilho de cor único nos campos gélidos, a Gota-de-mel traz paz as rainhas, mantendo-as mais estáveis, e sua prole mais consistente ao longo das gerações.",白銀の荒野で優美な光を放つハニードロップは女王バチの癒しとなり安定をもたらし、子孫の遺伝子も安定する。,,,"一片白色的荒原中, 只有蜜滴带来了一闪而过的精致色彩. 它能为蜂后带来抚慰的感受, 使其更加稳定, 并使其之后的世代也更加恒定.",XX
$flower9_effect,,"This flower increases the stability of bees, decreasing the chance of mutation.",XX,"Cette fleur augmente la stabilité des abeilles, ce qui réduit les chances de mutation.","Questo fiore aumenta la stabilità delle api, diminuendone la capacità di mutazione.",Diese Blume erhöht die Stabilität der Bienen und verringert die Wahrscheinlichkeit von Mutationen.,"Esta flor aumenta la estabilidad de las abejas, lo que disminuye la probabilidad de mutaciones.","Essa flor aumenta a estabilidade das abelhas, diminuindo a chance de mutação.",ハチの安定性を向上させ、変異の可能性を低下させる。,,,"这种花能增加蜜蜂的稳定性, 降低变异的几率.",
$flower10_species,,Frosteria,XX,Glacine,Glacinia,Frosteria,Escarchalia,Glacínia,フロステリア,,,寒裕花,XX
$flower10_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Floris Gelus,XX,Floris Gelus,Floris Gelus,Floris Gelus,Floris Gelus,Floris Gelus,Floris Gelus,,,Floris Gelus,XX
$flower10_hint,"A turqoise flower that grows in the snow, it increases the amount of 'special' produce each bee species makes. (each species has a special product unique to that species along with common stuff like beeswax and honey that all bees make)",A hardy flower with a deep turquoise hue that thrives in extreme cold conditions,XX,Une fleur vivace à la teinte turquoise intense qui s'épanouit dans des conditions de froid extrême.,Un fiore resistente di un colore turchese intenso che prospera anche in condizioni climatiche di freddo estremo.,"Eine widerstandsfähige Blume mit tiefem Türkis, die auch unter extrem kalten Bedingungen gedeiht",Una flor resistente de color turquesa oscuro que crece en condiciones de frío extremo.,Uma flor resistente com uma coloração turquesa que prospera em frios extremos.,深いターコイズ色の丈夫な花で、非常に低気温の地に生息する,,,"饱含深蓝绿色光泽的耐寒花卉, 在极寒条件下也能茁壮成长.",XX
$flower10_desc,,"An extremely hardy flower that can survive even the most fierce frosts. The nectar from Frosteria is extremely rich, causing hives to overproduce more than they would when sourcing their food elsewhere.",XX,"Une fleur extrêmement résistante capable de survivre aux plus terribles gelées. Le nectar de la Glacine est particulièrement riche, ce qui favorise la production des ruches par rapport aux autres sources d'approvisionnement.","Un fiore estremamente resistente che può sopravvivere anche al gelo più intenso. Il nettare della Glacinia è estremamente ricco e innesca una superproduzione negli alveari, maggiore di quella che avviene quando le api cercano il loro cibo altrove.","Eine äußerst widerstandsfähige Blume, die selbst den stärksten Frost überstehen kann. Der Nektar von Frosteria ist extrem reichhaltig, sodass die Bienenstöcke mehr produzieren, als es bei anderweitigen Nahrungsquellen der Fall wäre.","Una flor sumamente resistente que puede sobrevivir hasta en la peor de las ventiscas. El néctar de la escarchalia es muy rico, y provoca que las colmenas aumenten su producción en gran medida en comparación con cualquier otro alimenta.","Uma flor extremamente resistente que sobrevive a mais poderosa das geadas. O néctar da Glacínia é muito rico, fazendo com que as colmeias produzam muito mais do que quando se alimentam de outras fontes.",非常に丈夫な花で、すさまじい寒さの中でも生きのびる。フロステリアの蜜はすごく濃厚で、他の場所で食糧を調達するのに比べ巣の生産性が高い。,,,"极其耐寒的花卉, 即使在最严酷的霜寒中也能存活. 寒裕花富含极多花蜜, 能使蜂群比在其它地方采食时获得更多产出.",XX
$flower10_effect,,This flower increases the amount of special produce a species will fill a frame with.,XX,Cette fleur augmente la quantité de produits spéciaux qu'une espèce peut remplir dans un cadre.,Questo fiore aumenta la quantità di produzione speciale con cui una specie riempirà un telaio.,"Diese Blume erhöht die Menge an speziellen Naturalien, mit denen eine Art die Rähmchen füllen kann",Esta flor aumenta la cantidad de productos especiales con los que llena un cuadro una especie.,Essa flor aumenta a produção de produtos especiais que uma espécie enche seus quadros.,ハチがフレームに生産する特殊な生産物の量が増加する。,,,这种花能增加巢框中蜂种特殊产物的数量.,
$flower11_species,,Hivanium,XX,Mellivère,Favanio,Stockanium,Panalia,Colmelia,ハイバニウム,,,巢旺花,XX
$flower11_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Floris Alveare,XX,Floris Alveare,Floris Alveare,Floris Alveare,Floris Alveare,Floris Alveare,Floris Alveare,,,Floris Alveare,XX
$flower11_hint,A crossbreed of flower8 and flower9 that acts like an 'opposite' to flower8 - it keeps nocturnal bees up for longer in the morning,A bright lime-coloured aquatic flower with roots in Lacuna and Mela families,XX,Une fleur aquatique vert vif issue d'un croisement entre Lacuna et Mela.,Un fiore acquatico luminoso color lime con radici nelle famiglie Lacuna e Mela.,Eine leuchtend hellgrüne Wasserblume mit Wurzeln in den Familien Lacuna und Mela,Una flor acuática de color lima brillante con raíces en las familias Lacuna y Mela.,"Uma flor aquática de cor verde brilhante, descendente das famílias Lacuna e Mela",明るいライムグリーンの水辺に生息する花。ポンドシャインと「ハニー」系植物の系統をひく,,,"亮黄绿色的水生花卉, 源于池光花与蜜滴花类植物.",XX
$flower11_desc,,"Many plants produce bitter chemicals to discourage wildlife from eating them. Not so Hivanium, which secretes a potent stimulant from its flowers. Some islanders have even taken to brewing Hivanium tea to give them a little 'boost'!",XX,"De nombreuses plantes produisent des substances chimiques amères pour décourager la faune de les manger. Ce n'est pas le cas de la Mellivère, dont les fleurs sécrètent un puissant stimulant. Certains habitants se sont même mis à préparer du thé à la Mellivère pour se donner un petit coup de fouet !","Molte piante producono sostanze chimiche acide per dissuadere gli animali selvatici dal mangiarle. Non il favanio, che secerne un potente stimolante dai suoi fiori. Alcuni isolani hanno cominciato a usare questo fiore perfino per il tè per dargli una piccola 'spinta'!","Viele Pflanzen produzieren Bitterstoffe, um Wildtiere davon abzuhalten, sie zu fressen. Nicht so Stockanium, das aus seinen Blüten ein starkes Stimulans absondert. Einige Inselbewohner haben sogar Stockanium-Tee gebraut, um sich einen kleinen 'Schub' zu verschaffen!",Muchas plantas producen sustancias amargas para disuadir a los animales de que se las coman. Pero la panalia no es el caso: esta flor segrega un poderoso estimulante con sus flores. ¡Muchos isleños preparan un té de panalia como estimulante!,"Muitas plantas produzem toxinas amargas para afastar animais. Mas não a Colmelia, que secreta um estimulante potente de suas flores. Alguns habitantes da ilha até mesmo preparam chás com Colmelia para um 'estímulo' extra.",多くの植物が、動物からの捕食から身を守るために苦い物質を生み出している。ハイバニウムは例外で、花から強力な興奮剤を分泌している。時々「ハイ」になるためにハイバニウムティーを淹れる島民もいる！,,,"许多植物会产生苦味化学物质以劝退想吃掉它们的野生动物. 但巢旺花不一样, 它的花朵会分泌一种强效的兴奋剂. 一些岛民甚至开始用巢旺煮茶喝, 以获得一点'提神'的效果!",XX
$flower11_effect,,This flower keeps bees up for a few hours longer into the day.,XX,Cette fleur permet aux abeilles de rester éveillées quelques heures de plus la journée.,Questo fiore tiene le api sveglie per più ore durante il giorno.,Diese Blume hält die Bienen einige Stunden länger am Tag wach.,Esta flor mantiene a las abejas despiertas durante más tiempo durante el día.,Essa flor mantém as abelhas trabalhando por mais algumas horas durante o dia.,日が昇ってもハチを数時間働かせることができる。,,,这种花能使蜜蜂在日出后继续多活动数小时.,
$flower12_species,,Combristle,XX,Chardayon,Durasetola,Biestel,Abejarita,Brinco-de-mel,ブラシグサ,,,巢鬃花,XX
$flower12_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Mella Seta,XX,Mella Seta,Mella Seta,Mella Seta,Mella Seta,Mella Seta,Mella Seta,,,Mella Seta,XX
$flower12_hint,"A crossbreed of flower5 and flower7 that decreases the lifespan of bees working nearby, leading to quicker offspring turnover (a good thing in some cases)",A tough spiky flower that can be cross-bred from Flava and Alva,XX,Une fleur épineuse coriace issue d'un croisement entre Flava et Alva.,Un robusto fiore appuntito ottenuto incrociando Flava e Alva.,"Eine robuste, stachelige Blume, die aus Flava und Alva gekreuzt werden kann",Una flor resistente y espinada que se puede conseguir cruzando Flava con Alva.,Uma flor resistente e espinhenta criada pela mistura de Flava e Alva.,丈夫で気難しいタイプの花で、アキノキリンソウとポイズンローズの交配種,,,"坚韧的带刺花卉, 通过秋麒麟花与巢祸花杂交得到",XX
$flower12_desc,,"Vastly unpopular with beekeepers and pet owners alike, Combristle is seen as an omen of bad fortune. In fact, research suggests it actually poisons nearby Hives, but the results are yet inconclusive.",XX,"Très mal vu par les apiculteurs et les propriétaires d'animaux domestiques, le Chardayon est considéré comme un mauvais présage. D'après certaines études, cette plante empoisonnerait les ruches voisines, mais les résultats ne sont pas encore concluants.","Estremamente sgradito agli apicoltori e ai proprietari di animali domestici, il durasetola è spesso considerato un presagio di sfortuna. Infatti, alcune ricerche sostengono che questo fiore potrebbe essere in grado di avvelenare gli alveari vicini, anche se non ci sono prove definitive in merito.","Die Biestel ist sowohl bei Imkern als auch bei Tierhaltern äußerst unbeliebt und wird als Unglücksbringer angesehen. Untersuchungen deuten sogar darauf hin, dass sie Bienenstöcke in der Nähe vergiftet, aber die Ergebnisse sind noch nicht stichhaltig.","La abejarita goza de muy mala reputación entre la comunidad apicultora y quienes poseen mascotas, y se la considera de mal augurio. Las investigaciones indican que esta planta envenena las colmenas cercanas, pero los resultados no son concluyentes.","Impopular entre os apicultores e donos de bichinhos, a Brinco-de-mel é vista como sinal de azar. Na verdade, pesquisas indicam que ela envenena Colmeias próximas, mas os resultados não são precisos.",＿は養蜂家やペットを飼う人に非常に人気がなく、不運の兆しだと言われている。実際に近くにある巣に毒をもたらすという研究結果も出ているが、まだその結果は決定的とは言えない。,,,"巢鬃花被认为是厄运的预兆, 十分不受养蜂人和宠物主欢迎. 确实, 有研究表明它会毒害周围的蜂巢, 但还不能下定论.",XX
$flower12_effect,,"This flower decreases the lifespan of bees, making the Queen have a shorter lifespan.",XX,Cette fleur diminue la durée de vie des abeilles.,"Questo fiore fa diminuire la speranza di vita delle api, rendendo la regina meno longeva.",Diese Blume verkürzt die Lebensdauer der Bienen und damit auch die Lebenszeit der Königin.,"Esta flor disminuye la longevidad de las abejas, lo que acorta la vida de las reinas.","Essa flor diminui o tempo de vida das abelhas, fazendo as Rainhas viverem menos.",ハチの寿命を縮め、女王バチの寿命も短くなる。,,,"这种花会缩短蜜蜂的寿命, 使蜂后的寿命缩短.",
$flower13_species,,Beewell,XX,Apinolia,Aperfezione,Bienenwohl,Poléndula,Melioras,ビーウェル,,,蜂福花,XX
$flower13_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Apisa Bene,XX,Apisa Bene,Apisa Bene,Apisa Bene,Apisa Bene,Apisa Bene,Apisa Bene,,,Apisa Bene,XX
$flower13_hint,A crossbreed of flower6 and flower7 that increases the amount of honey a bee will produce.,This pink-ish flower is a more favoured offshoot from Apisa and Flava,XX,Cette fleur rose est une variété très appréciée issue d'un croisement entre Apisa et Flava.,"Questo fiore rosato è un incrocio molto apprezzato, ottenuto da Apisa e Flava.",Diese rosafarbene Blüte ist ein beliebter Ableger von Apisa und Flava,Esta flor rosácea es una cruza entre Apisa y Flava con más bondades.,Essa flor rosada é uma amada ramificação de Apisa e Flava.,非常に人気のあるピンクがかった花で、ビーズニーズとアキノキリンソウの系統をひく,,,这种粉红花卉是蜂膝花与秋麒麟花广受欢迎的分支,XX
$flower13_desc,,"Highly sought after and rare to find in nature, Beewell has such an invigorating effect on nearby hives to almost be unnatural. Such is their value in apiculture, owning even one flower is a closely guarded secret.",XX,"Très recherchée et rare à trouver dans la nature, l'Apinolia a un tel effet vivifiant sur les ruches voisines que c'en est presque contre nature. Leur valeur en apiculture est telle que la possession d'une seule fleur est tenue au secret.","Molto ricercato e raro da trovare in natura, l'Aperfezione ha un effetto talmente rinvigorente sugli alveari vicini da sembrare quasi innaturale. È tale il suo valore nell'apicoltura, che possederne anche solo un fiore è un segreto da custodire gelosamente.","Das begehrte und in der Natur selten anzutreffende Bienenwohl hat eine so belebende Wirkung auf Bienenstöcke in der Nähe, dass sie fast unnatürlich wirkt. Sein Wert in der Imkerei ist so groß, dass der Besitz einer einzigen Blüte ein streng gehütetes Geheimnis ist.","Esta planta es muy codiciada y rara vez se la encuentra en estado natural. Tiene un efecto reconstituyente, casi sobrenatural, en las colmenas cercanas. Tal es su valor para la agricultura que incluso una flor de esta especie se guarda como el mejor de los secretos.","Muito procurada e dificilmente encontrada na natureza, a Melioras tem um efeito tão revigorante nas colmeias que parece quase sobrenatural. Seu valor na apicultura é tão grande que até mesmo uma flor é protegida em segredo.",多くの人が探し求めているが、自然界ではあまり見つけることができない。ビーウェルが近くにあると巣は活性化する。養蜂の世界で非常に価値の高い花で、たった1本でも持っていることはみんな内緒にしている。,,,"蜂福花极为抢手, 而且在自然界中非常罕见. 它对附近的蜂巢有强力到几乎非自然的振奋效果. 它在养蜂业中的价值极高, 因此即使只拥有一朵也是要严格保守的秘密.",XX
$flower13_effect,,This flower increases the amount of honey a species will fill a frame with.,XX,Cette fleur augmente la quantité de miel qu'une espèce peut remplir dans un cadre.,Questo fiore aumenta la produzione di miele con cui una specie può riempire un telaio.,"Diese Blüte erhöht die Menge an Honig, mit der eine Art Rähmchen füllen kann.",Esta flor aumenta la cantidad de miel con los que llena un cuadro una especie.,Essa flor aumenta a quantidade de mel que uma espécie enche seus quadros.,ハチがフレームを埋めるハチミツの量を増加させる。,,,这种花能增加巢框中蜂种蜂蜜的产量.,
$flower14_species,,Honeylip,XX,Jolilys,Bocca di Miele,Honiglippe,Labiamele,Lábios-de-mel,ハニーリップ,,,,
$flower14_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Augeat Hydromela,XX,Augeat Hydromela,Augeat Hydromela,Augeat Hydromela,Augeat Hydromela,Augeat Hydromela,Augeat Hydromela,,,,
$flower14_hint,,An offshoot of Hydromela formed by the action of nearby Princess Butterflies.,XX,Un rejeton d'Hydromela créé grâce aux papillons princiers à proximité.,Un incrocio dell'Hydromela formato dall'azione delle Farfalle Principesse nelle vicinanze.,"Ein Ableger von Hydromela, der durch die Wirkung der nahegelegenen Prinzessinnen-Schmetterlinge entstanden ist.",Una variante de Hydromela que se forma por acción de las mariposas princesas cercanas.,Uma variante da Hydromela formada pela ação de Borboletas Princesas próximas.,ハニーローズの系統を引いていて、プリンセスチョウの働きで受粉に成功する。,,,,
$flower14_desc,,Butterflies of all kinds find the aroma of Honeylip utterly irresistable - planting these flowers are an easy first step in attracting local wildlife.,XX,Tous les papillons trouvent le parfum du Jolilys irrésistible. Planter ces fleurs permet d'attirer facilement la faune locale.,Tutti i tipi di farfalle trovano irresistibile il profumo del Bocca di Miele. Piantare questi fiori permette di attirare facilmente la fauna locale.,"Schmetterlinge aller Art finden den Duft der Honiglippe unwiderstehlich. Das Anpflanzen dieser Blumen ist ein einfacher erster Schritt, um einheimische Wildtiere anzulocken.",Todo tipo de mariposas encuentran irresistible el aroma de la labiamele. Plantar estas flores es el primer paso para atraer a estas criaturas.,Borboletas de todos os tipos acham o aroma da Lábios-de-mel completamente irresistível - plantar essas flores é um simples passo inicial para atrair a natureza local.,「ハニーリップ」の香りにはどんなチョウも思わず惹かれる。辺りにいる野生の生き物を引き寄せるには、まず第一歩としてこの花を植えよう。,,,,
$flower14_effect,,This flower increases the chance of butterflies spawning nearby.,XX,Cette fleur augmente les chances de voir apparaître des papillons à proximité.,Questo fiore aumenta la possibilità di vedere apparire delle farfalle nelle vicinanze.,"Diese Blume erhöht die Wahrscheinlichkeit, dass Schmetterlinge in der Nähe auftauchen.",Esta flor aumenta la probabilidad de que aparezcan mariposas cerca.,Essa flor aumenta a chance de borboletas aparecerem por perto.,近くにチョウが飛ぶ可能性が上がる。,,,,
$flower15_species,,Stormwort,XX,Lotempête,Erba di Tempesta,Sturmkraut,Tormentosa,Erva-tempestuosa,アラシソウ,,,,
$flower15_latin,"Latin name for the bee, keep the same if you can. If different you'll need to update all the 'hints' for bees that are mutations of this species, as the hints refer to the bees needed by latin name",Tempestus Turba,XX,Tempestus Turba,Tempestus Turba,Tempestus Turba,Clavus Turba,Tempestus Turba,Tempestus Turba,,,,
$flower15_hint,,A derivative of Turba formed by the action of nearby Drizzled Butterflies,XX,Une variante de Turba créée grâce aux papillons pluvieux à proximité.,Una variante del Turba formata dall'azione delle Farfalle Pluviali nelle vicinanze.,"Ein Derivat von Turba, das durch die Wirkung naher Niesel-Schmetterlinge entsteht",Una variante de Turba que se forma por acción de las mariposas rociadas cercanas.,Uma derivação da Turba formada pela ação próxima de Borboletas Chuviscadas.,ブルーロータスの系統を引いていて、キリサメチョウの働きで受粉に成功する。,,,,
$flower15_desc,,"Scientists are worryingly uncertain whether Stormwort only grows where storms are common, or whether storms are common because of Stormwort.",XX,"Les scientifiques ne savent pas vraiment si le Lotempête ne pousse que là où les orages sont fréquents, ou s'il y a beaucoup d'orages à cause de la fleur.","Gli scienziati non sono in grado di stabilire se l'Erba di Tempesta cresca solo in aree in cui sono frequenti le tempeste, o se le tempeste siano più comuni a causa dell'Erba di Tempesta.","Die Wissenschaft ist sich nicht sicher, ob das Sturmkraut nur dort wächst, wo es häufig stürmt, oder ob die Stürme wegen des Sturmkrauts häufig sind.",La comunidad científica no logra descifrar si la tormentosa solo crece en lugares donde las tormentas son comunes o si las tormentas son comunes debido a la tormentosa.,"Os cientistas estão assustadoramente incertos se a Erva-tempestuosa só cresce onde tempestades são comuns, ou se tempestades são comuns por causa da Erva-tempestuosa.",嵐が発生する場所で「アラシソウ」が育つのか、「アラシソウ」が育つ場所に嵐が発生するのか、研究者たちは明らかにできず頭を悩ませている。,,,,
$flower15_effect,,This flower increases the chance of rain.,XX,Cette fleur augmente les chances de pluie.,Questo fiore aumenta la possibilità che piova.,Diese Blume erhöht die Chance auf Regen.,Esta flor aumenta la probabilidad de que llueva.,Essa flor aumenta a chance de chuva.,雨が降る可能性が上がる。,,,,
